Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CAPAE660X800N,21.400000,17.300000,180.000000,top
C2,100uF,CAPAE660X800N,32.000000,17.300000,0.000000,top
D1,MM1Z15,D_SOD-123,21.000000,9.700000,180.000000,top
Q1,IRFS7530TRLPBF,TO-263-2,37.400000,6.500000,0.000000,top
R1,0.02 1W,R_2512_6332Metric,69.360000,51.330000,0.000000,top
R2,0.02 1W,R_2512_6332Metric,69.390000,39.130000,0.000000,top
R3,0.02 1W,R_2512_6332Metric,69.350000,27.020000,0.000000,top
R4,0.02 1W,R_2512_6332Metric,69.410000,15.410000,0.000000,top
R5,10k,R_0805_2012Metric,59.690000,41.910000,90.000000,top
R6,10k,R_0805_2012Metric,59.690000,45.720000,90.000000,top
R8,10k,R_0805_2012Metric,59.470000,31.750000,0.000000,top
R7,10k,R_0805_2012Metric,59.690000,34.290000,0.000000,top
R10,10k,R_0805_2012Metric,60.070000,19.050000,0.000000,top
R9,10k,R_0805_2012Metric,59.690000,21.590000,0.000000,top
R11,10k,R_0805_2012Metric,57.830720,8.610600,90.000000,top
R12,10k,R_0805_2012Metric,59.182000,12.123420,90.000000,top
R13,1k,R_0805_2012Metric,26.100000,8.300000,180.000000,top
R14,470k,R_0805_2012Metric,22.200000,5.600000,0.000000,top
U1,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,66.040000,44.450000,270.000000,top
U2,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,66.040000,34.190000,270.000000,top
U3,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,66.040000,21.590000,270.000000,top
U4,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,66.040000,10.160000,270.000000,top
