Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,57.404000,11.684000,270.000000,top
C2,1uF,C_0805_2012Metric,68.326000,20.066000,270.000000,top
C3,1uF,C_0805_2012Metric,71.374000,9.398000,270.000000,top
C4,1uF,C_0805_2012Metric,57.658000,22.606000,270.000000,top
C5,100uF,CP_Elec_6.3x7.7,74.930000,49.276000,180.000000,top
D1,LED,LED_1206_3216Metric,33.528000,4.064000,90.000000,top
D2,LED,LED_1206_3216Metric,36.068000,4.064000,90.000000,top
D3,LED,LED_1206_3216Metric,40.386000,4.064000,90.000000,top
D4,LED,LED_1206_3216Metric,42.926000,4.064000,90.000000,top
D5,1N4148W-7-F,D_SOD-123,60.452000,10.922000,270.000000,top
D6,1N4148W-7-F,D_SOD-123,71.628000,19.304000,270.000000,top
D7,1N4148W-7-F,D_SOD-123,74.676000,8.636000,270.000000,top
D8,1N4148W-7-F,D_SOD-123,60.960000,21.844000,270.000000,top
Q1,S8050,SOT-23,57.404000,6.858000,180.000000,top
Q2,S8050,SOT-23,70.612000,14.224000,180.000000,top
Q3,S8050,SOT-23,73.660000,3.556000,180.000000,top
Q4,S8050,SOT-23,59.944000,17.018000,180.000000,top
R1,4.7k,R_0805_2012Metric,52.070000,4.826000,270.000000,top
R2,4.7k,R_0805_2012Metric,64.770000,14.224000,270.000000,top
R3,4.7k,R_0805_2012Metric,68.072000,3.556000,270.000000,top
R12,47k,R_0805_2012Metric,54.102000,17.018000,270.000000,top
R5,470,R_0805_2012Metric,30.480000,4.064000,90.000000,top
R6,470,R_0805_2012Metric,28.194000,4.064000,90.000000,top
R7,470,R_0805_2012Metric,48.260000,4.064000,90.000000,top
R8,470,R_0805_2012Metric,45.974000,4.064000,90.000000,top
R9,47k,R_0805_2012Metric,54.610000,4.826000,90.000000,top
R10,47k,R_0805_2012Metric,67.310000,14.224000,90.000000,top
R11,47k,R_0805_2012Metric,70.612000,3.556000,90.000000,top
R4,4.7k,R_0805_2012Metric,56.642000,17.018000,90.000000,top
U1,XC6206P302MR-G,SOT-23,54.102000,11.684000,0.000000,top
U2,XC6206P302MR-G,SOT-23,65.024000,20.066000,0.000000,top
U3,XC6206P302MR-G,SOT-23,68.072000,9.398000,0.000000,top
U4,XC6206P302MR-G,SOT-23,54.356000,22.606000,0.000000,top
