Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,29.240480,33.017460,0.000000,bottom
C2,0.1uF,C_0805,29.319220,29.679900,0.000000,bottom
C3,10uF,C_0805,29.585920,16.362680,0.000000,bottom
C4,0.1uF,C_0805,29.560520,19.832320,0.000000,bottom
C5,0.1uF,C_0805,40.657780,19.142920,0.000000,bottom
C6,1uF,C_0805,40.657780,15.996920,0.000000,bottom
IC3,UCC27324D,SOIC-8,40.403780,24.632920,270.000000,bottom
R1,10k,R_0805,17.543780,28.696920,0.000000,bottom
R2,10k,R_0805,17.543780,17.520920,0.000000,bottom
R3,10k,R_0805,17.543780,31.998920,0.000000,bottom
R4,10k,R_0805,17.543780,20.822920,0.000000,bottom
R5,10k,R_0805,35.577780,17.520920,270.000000,bottom
R6,10k,R_0805,35.577780,30.982920,270.000000,bottom
R7,10k,R_0805,44.721780,30.982920,270.000000,bottom
R8,10k,R_0805,44.467780,17.520920,270.000000,bottom
R9,100ohm,R_0805,46.807120,22.992080,180.000000,bottom
R10,100ohm,R_0805,46.875700,26.692860,180.000000,bottom
R11,0.02 1W,R_2512,65.938400,38.757860,0.000000,bottom
R12,10k,R_0805,51.579780,43.682920,0.000000,bottom
R13,0.02 1W,R_2512,66.339720,8.511540,0.000000,bottom
R14,10k,R_0805,51.579780,40.380920,180.000000,bottom
R15,4.7k,R_0805,15.435580,48.427640,180.000000,bottom
R16,10k,R_0805,51.325780,14.472920,0.000000,bottom
R17,10k,R_0805,51.325780,11.170920,180.000000,bottom
U1,INA219AxD,SOIC-8,58.252360,42.100500,270.000000,bottom
U2,INA219AxD,SOIC-8,58.648600,11.650980,270.000000,bottom
